Product Name,Brand,BF SKU,Pregnancy Safe,Redness/ Rosacea,Psoriasis,Oiliness,Hyperpigmentation,Fine Lines,Dull Skin,Dark Circles,Anti Pollution,White / Blackheads,Sensitive Skin,Dry Skin,Acne / Blemish
Sanskrit Saponins,ByNIOD,5818,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100% Plant-Derived Squalane,ByThe Ordinary,5759,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Magnesium Ascorbyl Phosphate Solution 10%,ByThe Ordinary,5754,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Niacinamide 10% + Zinc 1%,ByThe Ordinary,5753,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Matrixyl 10% + HA,ByThe Ordinary,5752,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vitamin C Suspension 23% + HA Spheres 2%,ByThe Ordinary,5675,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hyaluronic Acid 2% + B5,ByThe Ordinary,5673,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Glycolic Acid 7% Toning Solution,ByThe Ordinary,5672,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Alpha Arbutin 2% + HA,ByThe Ordinary,5671,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100% Organic Cold-Pressed Rose Hip Seed Oil,ByThe Ordinary,5669,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
100% Organic Cold-Pressed Moroccan Argan Oil,ByThe Ordinary,5668,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'Buffet',ByThe Ordinary,5667,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
